"Date","Price","Open","High","Low","Change %"
"Mar 09, 2021","5.8025","5.8753","5.8787","5.7675","-1.24%"
"Mar 08, 2021","5.8755","5.6898","5.8769","5.6898","3.25%"
"Mar 05, 2021","5.6908","5.6697","5.7232","5.6517","0.38%"
"Mar 04, 2021","5.6693","5.5700","5.6852","5.5438","0.89%"
"Mar 03, 2021","5.6193","5.6872","5.7729","5.5806","-1.00%"
"Mar 02, 2021","5.6761","5.6421","5.7340","5.6386","0.61%"
"Mar 01, 2021","5.6418","5.5870","5.6427","5.5553","0.77%"
"Feb 26, 2021","5.5986","5.5340","5.6093","5.4905","1.23%"
"Feb 25, 2021","5.5308","5.4450","5.5390","5.4173","2.30%"
"Feb 24, 2021","5.4062","5.4409","5.4454","5.3895","-0.64%"
"Feb 23, 2021","5.4409","5.4692","5.4843","5.4075","-0.46%"
"Feb 22, 2021","5.4659","5.5128","5.5342","5.4296","1.55%"
"Feb 19, 2021","5.3823","5.4267","5.4706","5.3670","-0.82%"
"Feb 18, 2021","5.4270","5.3877","5.4535","5.3854","0.30%"
