,Date,Close,Price
3416,2013-02-08,47457.0,1.9732
3417,2013-02-11,47230.0,1.9728
3418,2013-02-12,45229.0,1.969
3419,2013-02-13,45044.0,1.9647
3420,2013-02-14,45763.0,1.9577
3421,2013-02-15,45210.0,1.9688
3422,2013-02-18,45076.0,1.9634
3423,2013-02-19,45483.0,1.9543
3424,2013-02-20,46626.0,1.9611
3425,2013-02-21,45533.0,1.9735
3426,2013-02-22,46739.0,1.9727
3427,2013-02-25,46869.0,1.983
3428,2013-02-26,47407.0,1.9825
3429,2013-02-27,47657.0,1.9732
3430,2013-02-28,47400.0,1.9803
3431,2013-03-01,48574.0,1.9792
3432,2013-03-04,48820.0,1.9708
3433,2013-03-05,48374.0,1.9644
3434,2013-03-06,49067.0,1.9708
3435,2013-03-07,49422.0,1.9607
3436,2013-03-08,49212.0,1.9447
3437,2013-03-11,48562.0,1.9567
3438,2013-03-12,48234.0,1.9647
3439,2013-03-13,49141.0,1.9723
3440,2013-03-14,48474.0,1.9717
3441,2013-03-15,48436.0,1.9817
3442,2013-03-18,47422.0,1.982
3443,2013-03-19,47447.0,1.9855
3444,2013-03-20,48929.0,1.9903
3445,2013-03-21,49875.0,2.0082
3446,2013-03-22,50299.0,2.0091
3447,2013-03-25,50601.0,2.0123
3448,2013-03-26,50896.0,2.0173
3449,2013-03-27,50908.0,2.011
3450,2013-03-28,51539.0,2.0224
3451,2013-03-29,51574.0,2.0242
3452,2013-04-01,50507.0,2.0205
3453,2013-04-02,50405.0,2.019
3454,2013-04-03,51398.0,2.0245
3455,2013-04-04,52197.0,2.0137
3456,2013-04-05,51429.0,1.986
3457,2013-04-08,50092.0,1.9922
3458,2013-04-09,49867.0,1.9811
3459,2013-04-10,49922.0,1.9743
3460,2013-04-11,50008.0,1.9737
3461,2013-04-12,51835.0,1.9695
3462,2013-04-15,51626.0,2.0012
3463,2013-04-16,51716.0,1.987
3464,2013-04-17,52352.0,2.0012
3465,2013-04-18,53749.0,2.0187
3466,2013-04-19,54252.0,2.0108
3467,2013-04-22,53979.0,2.0213
3468,2013-04-23,53570.0,2.0248
3469,2013-04-24,53307.0,2.0109
3470,2013-04-25,53798.0,2.0017
3471,2013-04-26,53822.0,1.9988
3472,2013-04-29,54271.0,2.0082
3473,2013-04-30,55703.0,2.0017
3474,2013-05-01,55096.0,2.0015
3475,2013-05-02,54110.0,2.0097
3476,2013-05-03,54602.0,2.0091
3477,2013-05-06,54431.0,2.0096
3478,2013-05-07,54261.0,2.0079
3479,2013-05-08,53783.0,2.0055
3480,2013-05-09,53739.0,2.0137
3481,2013-05-10,52338.0,2.0201
